Name,Designer,ID,URL,Free,Photo
Little Hipster Cardigan,Kate Strikker,319232,https://www.ravelry.com/patterns/library/little-hipster-cardigan,False,https://images4-a.ravelrycache.com/uploads/pyrrha/120112857/tim_9711_medium2_medium2.jpg
0-850 Rambling Man,DROPS design,320352,https://www.ravelry.com/patterns/library/0-850-rambling-man,True,https://images4-a.ravelrycache.com/uploads/Drops/104268395/0-850a_medium2.jpg
Charleston Tea,Thea Colman,320688,https://www.ravelry.com/patterns/library/charleston-tea,False,https://images4-a.ravelrycache.com/uploads/babycocktails/104453279/final-12013_medium2.jpg
Lace Cardigans 1330,Sirdar,321736,https://www.ravelry.com/patterns/library/lace-cardigans-1330,False,https://images4-a.ravelrycache.com/uploads/somebunnyslove/666175881/1330P_Snuggly_4_Ply_-_Cardigans_INSET_medium2.png
Pulcini,Annalisa Dione,322027,https://www.ravelry.com/patterns/library/pulcini,True,https://images4-a.ravelrycache.com/uploads/Marsicanusbear/105234530/pulcini3_medium2.jpg
Adult Modular Cardigan Jacket,Loraine Birchall,322800,https://www.ravelry.com/patterns/library/adult-modular-cardigan-jacket,False,https://images4-a.ravelrycache.com/uploads/lor-artemis/167733601/Modular_001_medium2_medium2.JPG
Meris,Elizabeth Doherty,326110,https://www.ravelry.com/patterns/library/meris,False,https://images4-a.ravelrycache.com/uploads/mehetable/313627245/_quince-co-meris-elizabeth-doherty-knitting-pattern-finch-1_medium2.jpg
Miss Marple,Nadia Crétin-Léchenne,326634,https://www.ravelry.com/patterns/library/miss-marple-4,False,https://images4-a.ravelrycache.com/uploads/ittybitty/112032142/IMG_7444_medium2.jpg
zen cardigan,al-abrigo,326990,https://www.ravelry.com/patterns/library/zen-cardigan,False,https://images4-a.ravelrycache.com/uploads/al-abrigo/108208987/55_60_medium2.jpg
Portulaca Cardigan,Carol Feller,328258,https://www.ravelry.com/patterns/library/portulaca-cardigan,False,https://images4-a.ravelrycache.com/uploads/Littlefellers/108973823/portulaca1_medium2.jpg
Reine,Alexis Winslow,328610,https://www.ravelry.com/patterns/library/reine,False,https://images4-a.ravelrycache.com/uploads/joyousbohemian/109210749/Reine_1_medium2.jpg
Maxfield Cardigan,Amy Christoffers,330366,https://www.ravelry.com/patterns/library/maxfield-cardigan,False,https://images4-a.ravelrycache.com/uploads/savoryknitting/110415214/IMG_9037_light_medium2.jpg
boyfriend,Lori Versaci,330800,https://www.ravelry.com/patterns/library/boyfriend-3,False,https://images4-a.ravelrycache.com/uploads/VERSACIKNITS/110705956/DSC_0142_medium2.jpg
15-34 Setesdal Kofte,Sandnes Garn,332352,https://www.ravelry.com/patterns/library/15-34-setesdal-kofte,False,https://images4-a.ravelrycache.com/uploads/Skeindeer/442899795/koftebok_setesdal-herre_1_medium2.jpg
Ulina,Kerstin Michler,332561,https://www.ravelry.com/patterns/library/ulina,True,https://images4-a.ravelrycache.com/uploads/PtiteNath/644810576/4eb60ecd-1cd3-473e-868d-fdbbe71918f4_medium2.jpg
Low Tide,tincanknits,333018,https://www.ravelry.com/patterns/library/low-tide-6,False,https://images4-f.ravelrycache.com/flickr/7/5/5/7554213402/7554213402.jpg
Urban Hiker,tincanknits,333631,https://www.ravelry.com/patterns/library/urban-hiker,False,https://images4-a.ravelrycache.com/uploads/tincanknits/116418760/PK-urbanhiker-01a_medium2.jpg
Tenaya,Elizabeth Doherty,334150,https://www.ravelry.com/patterns/library/tenaya-2,False,https://images4-a.ravelrycache.com/uploads/Marnie/115296306/tenaya_a_500_medium2.jpg
Praline,Gudrun Johnston,334152,https://www.ravelry.com/patterns/library/praline,False,https://images4-a.ravelrycache.com/uploads/Marnie/115292780/praline_z_500_medium2.jpg
Alpine Tweed,Jared Flood,334640,https://www.ravelry.com/patterns/library/alpine-tweed,False,https://images4-a.ravelrycache.com/uploads/brooklyntweed/129775269/JJF-4532_copy_medium2.jpg
Brise Cardigan,Hannah Fettig,336191,https://www.ravelry.com/patterns/library/brise-cardigan,False,https://images4-a.ravelrycache.com/uploads/mehetable/163453443/DSC_4995RT_medium2.jpg
Hiro,Julia Farwell-Clay,336255,https://www.ravelry.com/patterns/library/hiro,False,https://images4-a.ravelrycache.com/uploads/juliafc/114062495/Hirohero_medium2.jpg
Girls Cardigan 1219,Sirdar,336401,https://www.ravelry.com/patterns/library/girls-cardigan-1219,False,https://images4-a.ravelrycache.com/uploads/somebunnyslove/642931257/1219_Sirdar_Snuggly_Baby_Bamboo_DK_-_Yoke_Cardigan_GIRLS_medium2.png
Make Mine Strawberry,Terri Thomas,336415,https://www.ravelry.com/patterns/library/make-mine-strawberry,False,https://images4-a.ravelrycache.com/uploads/ninja8tofu/114149839/strawberryweb1_medium2.jpg
Top Down Cardigan #6863,Bernat Design Studio,336501,https://www.ravelry.com/patterns/library/top-down-cardigan-6863,True,https://images4-a.ravelrycache.com/uploads/beljulia/114236394/1_medium2.jpg
Bluebell Cardigan,schneckenstrick,337913,https://www.ravelry.com/patterns/library/bluebell-cardigan-2,True,https://images4-a.ravelrycache.com/uploads/nadja1981/115098975/P1220329_medium2.JPG
Unisex V Necked baby Cardigan,Morven Swan,338681,https://www.ravelry.com/patterns/library/unisex-v-necked-baby-cardigan,True,https://images4-a.ravelrycache.com/uploads/lesliewest/847107846/20220329_132645_medium2.jpg
Park Ave Cardigan,Kelly Montag,340557,https://www.ravelry.com/patterns/library/park-ave-cardigan,True,https://images4-a.ravelrycache.com/uploads/ohsewsweet10/116863244/DSC07267_medium2.JPG
Sinnasaujakka,Pinneguri,342702,https://www.ravelry.com/patterns/library/sinnasaujakka,False,https://images4-a.ravelrycache.com/uploads/Lillepote/186994607/IMG_7466_medium2.jpg
Baby Cardigans 1373,Sirdar,345892,https://www.ravelry.com/patterns/library/baby-cardigans-1373,False,https://images4-a.ravelrycache.com/uploads/somebunnyslove/664795624/1373P_Snuggly_4Ply_-_V-Neck_Cardigans_Dark_BLUE_medium2.png
